event_month,date_event_began,time_event_began,restoration_date,restoration_time,area_affected,nerc_region_list,alert_criteria,event_type,demand_loss_(mw),number_of_customers_affected,year
january,2022-01-01 00:00:00,12:36:00,2022-01-01 00:00:00,14:12:00,washington:thurston county,['wecc'],"damage or destruction of a facility within its reliability coordinator area, balancing authority area or transmission operator area that results in action(s) to avoid a bulk electric system emergency.",system operations,0,0,2022
january,2022-01-01 00:00:00,12:36:00,2022-01-02 00:00:00,19:43:00,washington:thurston county,['wecc'],"damage or destruction of a facility within its reliability coordinator area, balancing authority area or transmission operator area that results in action(s) to avoid a bulk electric system emergency.",system operations,0,0,2022
january,2022-01-01 00:00:00,01:01:00,nat,,georgia:clayton county,['serc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
january,2022-01-01 00:00:00,00:06:00,2022-01-01 00:00:00,05:51:00,new hampshire:merrimack county,['npcc'],damage or destruction of its facility that results from actual or suspected intentional human action.,suspicious activity,2,845,2022
january,2022-01-02 00:00:00,13:21:00,2022-01-02 00:00:00,17:38:00,california:tuolumne county,['wecc'],electrical system separation (islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,severe weather,3,1706,2022
january,2022-01-03 00:00:00,12:45:00,2022-01-03 00:00:00,12:46:00,washington:thurston county,['wecc'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,vandalism,0,0,2022
january,2022-01-03 00:00:00,05:00:00,2022-01-04 00:00:00,18:00:00,south carolina,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,60424,2022
january,2022-01-03 00:00:00,05:30:00,2022-01-04 00:00:00,12:30:00,north carolina:south carolina,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,142000,2022
january,2022-01-03 00:00:00,01:00:00,2022-01-03 00:00:00,14:00:00,georgia:alabama:mississippi,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,283,40885,2022
january,2022-01-05 00:00:00,12:32:00,2022-01-05 00:00:00,12:45:00,massachusetts:plymouth county,['npcc'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,0,0,2022
january,2022-01-08 00:00:00,02:20:00,2022-01-12 00:00:00,07:40:00,florida:citrus county,['serc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
january,2022-01-08 00:00:00,18:07:00,2022-01-08 00:00:00,22:26:00,new hampshire:merrimack county,['npcc'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,suspicious activity,0,0,2022
january,2022-01-08 00:00:00,02:56:00,2022-01-08 00:00:00,03:03:00,texas:cameron county:willacy county,['texas re'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,0,0,2022
january,2022-01-09 00:00:00,18:08:00,nat,,mississippi:adams county,['serc'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,,,2022
january,2022-01-12 00:00:00,09:20:00,2022-01-12 00:00:00,10:25:00,indiana:kentucky:ohio,"['serc', 'rf']",complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,,,2022
january,2022-01-13 00:00:00,16:00:00,2022-01-13 00:00:00,16:01:00,massachusetts:hampden county,['npcc'],"physical threat to its bulk electric system control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. or suspicious device or activity at its bulk electric system control center.",suspicious activity,0,0,2022
january,2022-01-14 00:00:00,13:50:00,2022-01-14 00:00:00,14:13:00,pennsylvania:bucks county,['npcc'],damage or destruction of its facility that results from actual or suspected intentional human action.,suspicious activity,0,0,2022
january,2022-01-14 00:00:00,08:34:00,2022-01-14 00:00:00,08:42:00,texas:potter county:new mexico,"['texas re', 'wecc']","unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",transmission interruption,0,0,2022
january,2022-01-15 00:00:00,14:09:00,2022-01-15 00:00:00,14:28:00,new york:orange county,['npcc'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
january,2022-01-16 00:00:00,12:05:00,2022-01-17 00:00:00,08:45:00,north carolina:jackson county:south carolina:greenville county,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,51289,2022
january,2022-01-16 00:00:00,13:15:00,2022-01-16 00:00:00,17:15:00,north carolina:south carolina,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,74638,2022
january,2022-01-16 00:00:00,05:15:00,2022-01-17 00:00:00,00:06:00,georgia:alabama,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,436,61113,2022
january,2022-01-18 00:00:00,22:22:00,2022-01-18 00:00:00,22:23:00,texas:harris county,['texas re'],cyber security incident that was an attempt to compromise a high or medium impact bulk electric system cyber system or their associated electronic access control or monitoring systems,cyber event,0,0,2022
january,2022-01-19 00:00:00,14:35:00,2022-01-19 00:00:00,16:02:00,maine,['npcc'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
january,2022-01-20 00:00:00,19:57:00,2022-01-21 00:00:00,05:30:00,mississippi:arkansas:louisiana:texas,"['texas re', 'serc']",complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,severe weather,0,0,2022
january,2022-01-20 00:00:00,09:00:00,2022-01-20 00:00:00,09:59:00,maine,['npcc'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
january,2022-01-23 00:00:00,00:37:00,2022-01-23 00:00:00,00:42:00,pennsylvania:westmoreland county,['rf'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
january,2022-01-24 00:00:00,10:27:00,2022-01-24 00:00:00,10:51:00,washington:chelan county,['wecc'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,0,0,2022
